
SetupTitle, Generic C-f
DataValue, 5.008464, 0.049388992, 460530.5, 4.71248E-07, 1.8065E-05, 3.141592653589, 6.2430914933013455E-12, 2122024.921060673, 0.02608624411846111, 1443.0392862502172, -55318.016641153226, 6.2473398679431924E-12, 55336.835177777983, -1.5447159974229541
DataValue, 5.008488, 0.049401856, 515914.80000000005, 5.6850399999999994E-07, 2.0235200000000002E-05, 3.141592653589, 6.242372004939447E-12, 1759002.5751797704, 0.0280948050921167, 1387.3174885645165, -49379.858091764894, 6.2472992219823589E-12, 49399.342454904356, -1.5427089101164841
DataValue, 5.0085359999999994, 0.049411968, 577959.70000000007, 7.04509E-07, 2.2671900000000002E-05, 3.141592653589, 6.2432466386255874E-12, 1419428.2826763035, 0.031074104949298468, 1369.2777728658871, -44064.914342667173, 6.2492751175698552E-12, 44086.183750080476, -1.5397322177735593
DataValue, 5.0085359999999994, 0.049331264, 647466.3, 8.75208E-07, 2.54264E-05, 3.141592653589, 6.25011254644881E-12, 1142585.5339530718, 0.034421231475946258, 1352.157471579216, -39282.65821994518, 6.2575178121482295E-12, 39305.922793555867, -1.536388679997664
DataValue, 5.008576, 0.049339456000000004, 725331.9, 1.08965E-06, 2.8545200000000002E-05, 3.141592653589, 6.2634907985543145E-12, 917725.87528105348, 0.038172792623628486, 1335.3295689735421, -34981.186263720971, 6.2726177199389127E-12, 35006.663615302095, -1.5326420592930121
DataValue, 5.0085679999999995, 0.049266816000000005, 812561.8, 1.36801E-06, 3.20714E-05, 3.141592653589, 6.2817644662580748E-12, 730988.808561341, 0.042655138222840283, 1327.589996723874, -31123.800133719822, 6.2931938905648576E-12, 31152.101533654826, -1.5281670301514829
DataValue, 5.008608, 0.049161792, 910282.10000000009, 1.7155499999999998E-06, 3.60527E-05, 3.141592653589, 6.3035024162406615E-12, 582903.44204482529, 0.047584508233779986, 1316.8779797200152, -27674.510646411818, 6.3177753448809628E-12, 27705.824426135248, -1.523247684816313
DataValue, 5.008648, 0.049120896000000004, 1019754, 2.1550599999999997E-06, 4.0556700000000004E-05, 3.141592653589, 6.3297611781828781E-12, 464024.20350245474, 0.053136966271910668, 1306.5006399965951, -24587.41497041842, 6.347633494239003E-12, 24622.102242697867, -1.5177092873681064
DataValue, 5.008712, 0.048997312, 1142392, 2.63547E-06, 4.56797E-05, 3.141592653589, 6.3639714335855713E-12, 379438.96155145, 0.057694555787362871, 1258.8337326989658, -21818.934482110955, 6.3851549419860163E-12, 21855.218239615711, -1.5131656586803997
DataValue, 5.008672, 0.048871616, 1279778, 3.30999E-06, 5.1484300000000004E-05, 3.141592653589, 6.4026579896108051E-12, 302115.71636168088, 0.064291249953869423, 1243.6141627383784, -19343.443526618357, 6.4291225109035933E-12, 19383.379056636051, -1.5065934375384047
DataValue, 5.008872, 0.048694784000000005, 1433687, 4.22552E-06, 5.80556E-05, 3.141592653589, 6.44480679127883E-12, 236657.26348473085, 0.072784020835199359, 1247.0886238410251, -17134.099071892932, 6.4789482434781948E-12, 17179.423187090884, -1.4981404237643199
DataValue, 5.008808, 0.048454912, 1606105, 5.39259E-06, 6.55706E-05, 3.141592653589, 6.4976356536490876E-12, 185439.64959323814, 0.0822409738510857, 1245.8093649761311, -15148.280797743553, 6.5415829177784808E-12, 15199.422755524247, -1.4887400185288409
DataValue, 5.0088159999999995, 0.048161344, 1799258, 6.89663E-06, 7.43012E-05, 3.141592653589, 6.5723777566433054E-12, 144998.35426867905, 0.092819900620716753, 1238.5673252342394, -13343.769137345962, 6.6290023003460392E-12, 13401.127706649335, -1.4782416209762352
DataValue, 5.0087839999999995, 0.047917696, 2015641, 8.85079E-06, 8.45674E-05, 3.141592653589, 6.6774389558621544E-12, 112984.26468145782, 0.10465959696053087, 1224.17876799315, -11696.765547977517, 6.7505811597851746E-12, 11760.652105234598, -1.4665163720739254
DataValue, 5.008896, 0.047408384000000005, 2258046, 1.14267E-05, 9.64384E-05, 3.141592653589, 6.797314166264689E-12, 87514.330471614725, 0.11848703421043899, 1211.6190648379754, -10225.7523189084, 6.8927428648454484E-12, 10297.28271176136, -1.4528591550195138
DataValue, 5.008824, 0.046901568000000005, 2529603, 1.4798700000000001E-05, 0.000110613, 3.141592653589, 6.9594342354228166E-12, 67573.503077973059, 0.13378807192644626, 1188.2461891955898, -8881.5555234913736, 7.0840028760632124E-12, 8960.689567382522, -1.43779802558228
DataValue, 5.0089039999999994, 0.046119360000000005, 2833818, 1.92669E-05, 0.000127639, 3.141592653589, 7.1685541489649516E-12, 51902.485610035867, 0.15094837784689633, 1156.2733921328463, -7660.058416166813, 7.3318926142462547E-12, 7746.8356828089763, -1.4209789995775009
DataValue, 5.008864, 0.045186048, 3174618, 2.54465E-05, 0.00014841, 3.141592653589, 7.440323561535326E-12, 39298.135303479845, 0.17146081800417762, 1122.3235178574971, -6545.6559167363339, 7.6590602359634312E-12, 6641.1762105098069, -1.4009867270192837
DataValue, 5.008912, 0.044109824000000006, 3556404, 3.43805E-05, 0.00017428700000000002, 3.141592653589, 7.79963062876551E-12, 29086.25529006268, 0.19726370871034557, 1089.4392830504053, -5522.7557576244089, 8.1031374274719055E-12, 5629.183698355112, -1.3760331953943603
DataValue, 5.008984, 0.042570368000000004, 3984105, 4.73068E-05, 0.00020757700000000002, 3.141592653589, 8.29217744567342E-12, 21138.610094109092, 0.22790000818973197, 1043.6978652674834, -4579.6306615249478, 8.7228599885932616E-12, 4697.0546334850451, -1.3467233351309798
DataValue, 5.00904, 0.040727424000000005, 4463241, 6.6712400000000009E-05, 0.000251587, 3.141592653589, 8.9713539259185836E-12, 14989.717054100885, 0.2651663241741426, 984.7348287683659, -3713.6496568156272, 9.6021583446546521E-12, 3841.99120984891, -1.3115951922335025
DataValue, 5.0090959999999995, 0.038464576, 5000000, 9.7800600000000007E-05, 0.00031257800000000004, 3.141592653589, 9.9496667603582061E-12, 10224.886145892764, 0.31288382419748029, 911.723998589114, -2913.9377880195834, 1.092370219750662E-11, 3053.2399319496308, -1.2675618205032291
